image_path,instruction
kitchenware_5000/kitchen_5000images/bottle_opener/bottleopenerraw26.jpg,a photo of a metal bottle opener on a table
kitchenware_5000/kitchen_5000images/bottle_opener/bottleopenerraw15.jpg,a close-up a bottle opener
kitchenware_5000/kitchen_5000images/bottle_opener/bottleopenerraw7.JPG,a kitchen bottle opener used for removing caps
kitchenware_5000/kitchen_5000images/knife/eu.56a6d7bf-14f6-4bcf-a3ea-c4bb2453b62f.jpg,a sharp kitchen knife
kitchenware_5000/kitchen_5000images/knife/eu.0e7fe470-52a0-4542-b591-d0dda16fed03.jpg,a knife laying on its side
kitchenware_5000/kitchen_5000images/knife/eu.45bee265-1067-48e6-9a8d-2711f47e9727.jpg,a knife on a table
kitchenware_5000/kitchen_5000images/cup/eu.8b9fa932-709b-49c5-86e9-d3aa73929eda.jpg,a ceramic cup
kitchenware_5000/kitchen_5000images/cup/eu.d25608a5-c7ce-4877-a1e6-3c0dc18e573e.jpg,a glass cup used for serving beverages
kitchenware_5000/kitchen_5000images/cup/eu.5d2833fb-d1e7-4d8e-8a30-14743b8a7120.jpg,a coffee cup placed on a kitchen counter
kitchenware_5000/kitchen_5000images/spoon/eu.d2a8bfbf-7a0c-4295-8e2f-1949fa77a290.jpg,a metal spoon with a reflective surface
kitchenware_5000/kitchen_5000images/spoon/eu.3294c967-e63a-4460-b924-7cb5ad474791.jpg,a wooden spoon on a white background
kitchenware_5000/kitchen_5000images/spoon/eu.ab969f98-1b08-4730-b3df-95a16118cd3e.jpg,a spoon used to eat soup
kitchenware_5000/kitchen_5000images/fork/00000111.jpg,a fork used to eat food on a plate
kitchenware_5000/kitchen_5000images/fork/eu.a1e6fd2a-8ea5-4d8f-b4c9-9687a422e1ce.jpg,a fork by itself
kitchenware_5000/kitchen_5000images/fork/eu.c1213910-27ec-468a-9e91-5766a0553c99.jpg,a fork laying on a counter
kitchenware_5000/kitchen_5000images/ladle/ladleraw44.jpg,a soup ladle resting on a counter
kitchenware_5000/kitchen_5000images/ladle/ladleraw46.jpg,a ladle used to serve soup
kitchenware_5000/kitchen_5000images/ladle/ladleraw31.jpg,a metal ladle used to scoop liquids
kitchenware_5000/kitchen_5000images/masher/masherraw23.jpg,a potato masher
kitchenware_5000/kitchen_5000images/masher/masherraw6.JPG,a metal food masher used in a kitchen
kitchenware_5000/kitchen_5000images/masher/masherraw12.JPG,a masher againsta a green background
kitchenware_5000/kitchen_5000images/peeler/potatopeelerraw4.JPG,a vegetable peeler on a green background
kitchenware_5000/kitchen_5000images/peeler/potatopeelerraw2.JPG,a metal peeler on a counter
kitchenware_5000/kitchen_5000images/peeler/peelerraw15.jpg,a peeler used to remove fruit and vegetable skins
kitchenware_5000/kitchen_5000images/plate/eu.c32c48a8-d178-4056-9f46-687cccd87114.jpg,a metal plate
kitchenware_5000/kitchen_5000images/plate/eu.5d2f3d92-c33c-47c4-bf2e-41959f5f2f44.jpg,a clean plate
kitchenware_5000/kitchen_5000images/plate/eu.28c912e2-3069-4a7b-be4e-ee109b33bf86.jpg,a dish ready to hold food
kitchenware_5000/kitchen_5000images/tongs/tongsraw9.JPG,a pair of kitchen tongs used to grab food
kitchenware_5000/kitchen_5000images/tongs/tongsraw28.jpg,metal tongs slightly ajar
kitchenware_5000/kitchen_5000images/tongs/tongsraw33.jpg,cooking tongs placed against a green background
