image,true,predicted,top_3
bottleopenerraw26.jpg,a photo of a metal bottle opener on a table,a vegetable peeler on a green background,"['a vegetable peeler on a green background', 'a kitchen bottle opener used for removing caps', 'a close-up a bottle opener']"
bottleopenerraw15.jpg,a close-up a bottle opener,a vegetable peeler on a green background,"['a vegetable peeler on a green background', 'a metal food masher used in a kitchen', 'a metal ladle used to scoop liquids']"
bottleopenerraw7.JPG,a kitchen bottle opener used for removing caps,a kitchen bottle opener used for removing caps,"['a kitchen bottle opener used for removing caps', 'a metal peeler on a counter', 'a peeler used to remove fruit and vegetable skins']"
eu.56a6d7bf-14f6-4bcf-a3ea-c4bb2453b62f.jpg,a sharp kitchen knife,a knife on a table,"['a knife on a table', 'a knife laying on its side', 'a sharp kitchen knife']"
eu.0e7fe470-52a0-4542-b591-d0dda16fed03.jpg,a knife laying on its side,a knife laying on its side,"['a knife laying on its side', 'a knife on a table', 'a sharp kitchen knife']"
eu.45bee265-1067-48e6-9a8d-2711f47e9727.jpg,a knife on a table,a sharp kitchen knife,"['a sharp kitchen knife', 'a knife laying on its side', 'a knife on a table']"
eu.8b9fa932-709b-49c5-86e9-d3aa73929eda.jpg,a ceramic cup,a ceramic cup,"['a ceramic cup', 'a coffee cup placed on a kitchen counter', 'a glass cup used for serving beverages']"
eu.d25608a5-c7ce-4877-a1e6-3c0dc18e573e.jpg,a glass cup used for serving beverages,a coffee cup placed on a kitchen counter,"['a coffee cup placed on a kitchen counter', 'a ceramic cup', 'a glass cup used for serving beverages']"
eu.5d2833fb-d1e7-4d8e-8a30-14743b8a7120.jpg,a coffee cup placed on a kitchen counter,a coffee cup placed on a kitchen counter,"['a coffee cup placed on a kitchen counter', 'a ceramic cup', 'a soup ladle resting on a counter']"
eu.d2a8bfbf-7a0c-4295-8e2f-1949fa77a290.jpg,a metal spoon with a reflective surface,a spoon used to eat soup,"['a spoon used to eat soup', 'a metal spoon with a reflective surface', 'a metal ladle used to scoop liquids']"
eu.3294c967-e63a-4460-b924-7cb5ad474791.jpg,a wooden spoon on a white background,a metal spoon with a reflective surface,"['a metal spoon with a reflective surface', 'a spoon used to eat soup', 'metal tongs slightly ajar']"
eu.ab969f98-1b08-4730-b3df-95a16118cd3e.jpg,a spoon used to eat soup,a spoon used to eat soup,"['a spoon used to eat soup', 'a metal spoon with a reflective surface', 'a fork used to eat food on a plate']"
00000111.jpg,a fork used to eat food on a plate,a fork used to eat food on a plate,"['a fork used to eat food on a plate', 'a fork by itself', 'a fork laying on a counter']"
eu.a1e6fd2a-8ea5-4d8f-b4c9-9687a422e1ce.jpg,a fork by itself,a fork used to eat food on a plate,"['a fork used to eat food on a plate', 'a fork laying on a counter', 'a fork by itself']"
eu.c1213910-27ec-468a-9e91-5766a0553c99.jpg,a fork laying on a counter,a spoon used to eat soup,"['a spoon used to eat soup', 'a metal spoon with a reflective surface', 'a metal ladle used to scoop liquids']"
ladleraw44.jpg,a soup ladle resting on a counter,a ladle used to serve soup,"['a ladle used to serve soup', 'a metal ladle used to scoop liquids', 'a soup ladle resting on a counter']"
ladleraw46.jpg,a ladle used to serve soup,a ladle used to serve soup,"['a ladle used to serve soup', 'a metal ladle used to scoop liquids', 'a spoon used to eat soup']"
ladleraw31.jpg,a metal ladle used to scoop liquids,a metal ladle used to scoop liquids,"['a metal ladle used to scoop liquids', 'a metal food masher used in a kitchen', 'a potato masher']"
masherraw23.jpg,a potato masher,a potato masher,"['a potato masher', 'a metal food masher used in a kitchen', 'cooking tongs placed against a green background']"
masherraw6.JPG,a metal food masher used in a kitchen,a vegetable peeler on a green background,"['a vegetable peeler on a green background', 'a metal peeler on a counter', 'a potato masher']"
masherraw12.JPG,a masher againsta a green background,a potato masher,"['a potato masher', 'a metal food masher used in a kitchen', 'a pair of kitchen tongs used to grab food']"
potatopeelerraw4.JPG,a vegetable peeler on a green background,a peeler used to remove fruit and vegetable skins,"['a peeler used to remove fruit and vegetable skins', 'a kitchen bottle opener used for removing caps', 'a sharp kitchen knife']"
potatopeelerraw2.JPG,a metal peeler on a counter,a vegetable peeler on a green background,"['a vegetable peeler on a green background', 'a metal peeler on a counter', 'a peeler used to remove fruit and vegetable skins']"
peelerraw15.jpg,a peeler used to remove fruit and vegetable skins,a peeler used to remove fruit and vegetable skins,"['a peeler used to remove fruit and vegetable skins', 'a metal peeler on a counter', 'a kitchen bottle opener used for removing caps']"
eu.c32c48a8-d178-4056-9f46-687cccd87114.jpg,a metal plate,a clean plate,"['a clean plate', 'a dish ready to hold food', 'a coffee cup placed on a kitchen counter']"
eu.5d2f3d92-c33c-47c4-bf2e-41959f5f2f44.jpg,a clean plate,a dish ready to hold food,"['a dish ready to hold food', 'a metal ladle used to scoop liquids', 'a ladle used to serve soup']"
eu.28c912e2-3069-4a7b-be4e-ee109b33bf86.jpg,a dish ready to hold food,a ladle used to serve soup,"['a ladle used to serve soup', 'a dish ready to hold food', 'a spoon used to eat soup']"
tongsraw9.JPG,a pair of kitchen tongs used to grab food,metal tongs slightly ajar,"['metal tongs slightly ajar', 'cooking tongs placed against a green background', 'a potato masher']"
tongsraw28.jpg,metal tongs slightly ajar,a wooden spoon on a white background,"['a wooden spoon on a white background', 'a metal ladle used to scoop liquids', 'a ladle used to serve soup']"
tongsraw33.jpg,cooking tongs placed against a green background,a pair of kitchen tongs used to grab food,"['a pair of kitchen tongs used to grab food', 'a metal ladle used to scoop liquids', 'a kitchen bottle opener used for removing caps']"
